,review
10,". Mita line is divided into upper and lower ends, so when you go to Otemachi, you have to lower the two -layer staircase, and you are also frustrated."
11,"20200919 The toilet renovation seems to be over and it is very beautiful?The A5 · A6 exit has been closed since September 13, 2020, according to the reconstruction of the melee building.※ At the time of March 2021/Daiichi Kei Hin's response is the worst. "
12,"JR Tamachi Station and Keio University.It is a 5 -minute walk from JR Tamachi Station, which is connected to the basement.I only have to go up and down a small staircase several times, and I think it's convenient to go on the ground.It tastes more than the Roppong Line of Doei Oedo Line, but does not want to go to Doei Mita.It is directly connected to JR Tamachi Station.The Doei Asakusa Line is located under the Hibiya Street, and is in contact with the underground passage.It is located in Minato -gu Shiba 5 Chomet in Tokyo.In other words, it is also far from the Asakusa Line and Mita Line, which requires several stairs and up and downs.Aside from this, Keo -Ki University, which is closest to this station, can go to Hiyoshi Campus by using the Mita Line, and is supposed to be connected to SFC by the Sotetsu Line, which is scheduled to open in 2022.For this reason, the Mita Line = Meguro Line = The three -line direct communication of the Sotetsu Line is called ""Keio Line"" .../Tamachi is too far from Mita.It is necessary, especially the downhill, even if there is almost no escalator.If your legs are uncomfortable, it is difficult to use in Carrie Cart.I would like to know what the wheelchair is, I want to know if there is information.Hanedawa will increase the transfer to the station in the reverse direction.The transfer is also simple. "
13,"This is a general train station. Keio's Asakusa Line and Oedo Line stops and are close to Tokyo Tower.Caution !!It is Daimon (Hamamatsucho), but there is an assortment of Hamamatsucho.It seems that many people transfer to Hamamatsu -cho in the Inada Monorail.It has changed. "
14,"I found a bakery on Google, but I was disappointed. "
15,b2 outlets are not recommended if possible. 
16," because we are stopping the escalator to resolve congestion, the heat that climbs the stairs is rather confronted, so it is very dangerous.When my eyes stopped suddenly, it seemed to fall out of balance and fell dangerously.Anyway, I endured it, but if you are trying to get rid of people behind you…"
17," second, there is an Oedo line, which is very good because you can go anywhere in Tokyo with this line.Doyoung's subway is convenient for transfers.There are also many restaurants that are very convenient./It's hard to find the toilet, so I told you to do it somehow because the violence is shaken, but I do nothing.Near Hamamatsukho/Succession with Tokyo Monorail is very bad.Especially in the early morning flights, the World Trade Center Building is not open./It is a bit confusing at first. "
18," But when it is a holiday, it is a terrible reduction in humans, becoming a very quiet distance, and it is one of the rare streets.n "
19,"JR is on the Yamanote Line and Kei Hin Tohoku Line (Passing Passing).Ginza Line, Doei AsakuSir (Haneda Airport and Narita Airport can be taken to one), and other newly -transportation Yurika Momo is on board, and it is becoming an entrance to Odaiba areas.Around the station is a busy street, SL Square, and Office distance.Ginza is also close.The elevator is next to this staircase, but at the time of shooting, it is incapable of using the number (until February 2024).In addition, the official site of the Yurika Mome explains that the route using this elevator is a ""barrier -free movement path,"" but until the end of the number, the users of the wheelchair via Yurika Mome Sinbashi can be forced to be forced to be forced to be forced.In terms of freely, it can be said to be a failure level.It is used as a transfer from JR to monorail.It is a good idea to ride this place before and after commute on weekdays.It can be very crowded on weekends.It's convenient because it is.The starting point of the Yurika More More U1.I came from Tokyo Metro to transfer to the Yurika More.If you walk about 300m, you will see the signboard.Walk from one building to another building but use the underground road.There is a kiosk machine where you can buy the Yurika Mome Day Pass at 820 yen right in front of the gate.There is a landscape of the arc. "
20," because there is a lot of competition, there is no low -quality shop.Super, you can go to Doranomon Station. "
21," Reverse Table in relation to the memorial project.It is a place that is often considered for.There are also a variety of hotel options that can be extended to Ginza area nearby!The TV interview takes place in the western exit square.Metro), Doei Asakusa Line (Doei Underground), Yurika Mome (ground) and route, especially the basement is becoming difficult to know.Oe Line) can go for a 5 -minute walk.(There is a nearby underground passage) "
22," I want to expect it to be convenient because the east entrance is also in the redevelopment plan.The place is as soon as you come out of the southern ticket area near Sinagawa.As a railroad route world, this limited installation was installed instead of the foundation of Sakura.(2023.2)/Sinbashi Station is the most historical station in Japan, which was opened in 1872 as the first railway station in Japan to run between Yokohama Station.The monuments that talk about the history are installed on the east side of the history. "
23," The groove is a problem with groundwater, so there is a trace of groundwater flowing out of the stairs to the groove. "
24," is crowded in peak time./ JR Higashi, Doei, Tokyo Metro, Yurikamome, which is famous for being messed up by the expansion of the surrounding buildings. "
25, I hate Sinbashi because of you^_^
26,"2019 -I had a very bad experience at Sinbashi Station as the entire train network in Tokyo was stagnant.I was trapped inside the train and was trapped for almost an hour and a half after passing through Sinbashi.The railroad authorities failed to manage passenger traffic.The train was too crowded and the platform was crowded, so passengers could not get off the train.That day no one could step on the railroad platform.In the end, the authorities had to take a ticket to manage the entry traffic and open the exit gate./ The station connected to various lines with subway or Yurika Mome JR.When you come out of the station, the celery man's pub is unfolded.It is convenient for Yurika Momero to be convenient.there is.It is the role of the mind.The west exit of the station is SL, and the headquarters building in the east is lively.It is a station with detailed/JR, subway, Yurika Mome and various routes.It is often reflected in TV interviews.It was easier to pass by the ticket gate because it was better than before.In the opposite, there is a Shiodomeguchi of the Yurika Mome and the transfer.It is a pilgrimage spot where the main character is drawn./ Akihabara moved from Sinbashi./ If there is only a coffee shop counter and a small table seat, for one person.It's more than 500 yen of coffee unit price.This is a two and a half -month -and -a -month declaration of emergency.There are many withdrawals..The general opinion of Japan is Sinbashi Station./ It is a village with many foreigners./ Tokaido Main, Yamanote Line, Keihin Dohoku Line and Ginja Line, and Doei Subway Station.It's always a lively./When I go to the exhibition on the Tokyo Big Site, I go to Yurika Momo with a transfer transfer.Finding the locker is difficult to pick up because of the small lockers and wide, so it is difficult to pick up (> _ <) \It's so good and beautiful.Doei Subway Asakusa Line and Yurika Mega."
27, It is convenient because you can't have a relatively garbage waste. 
28," is convenient because it is good..If you ask for alternative transportation at Yurika Mome Shinbashi Station, you will be rejected as a target except for a regular pass or a ticket.If you ask for a reason, ""If you are in prepaid, like a regular pass or ticket, you can transport it, but the watermelon and Pasmo are out of the target because they charge and ride the money.""""ha?Wouldn't it be different from the regular authority to charge and ride in advance? ”Such rules are inevitable, but if the train stops due to a clear maintenance of a signal confirmation, not an accident in a rush, and a passenger suffering from the lungs, it is said that it is crowded.Home walking is also common, and there will be many salarymen who are commuting without buying regular passes.Anyway, I want to respond to the passenger first.How did you make excuses,It is your responsibility to stop the car.Passengers are victims.In it, the stroller family of aggressive, unusual, and horizontal patterns is very noticeable without following the rules.You can drop the reputation of another stroller that identifies common sense."
29," is a transit guide on a smartphone.Muslims think it's hard to find halal food here.The air conditioner is full and the wind is very cool.Help it and the attitude is bad when I speak.I think it's not suitable for hospitality.It is also in the subway and Yurika Momo, and this is also in Asakusa and Ariake. "
30," is also relatively valid as a waiting place, but there is also a complex place.The response and attitude of the reversal of the pattern are so bad, especially the staff of Midori's window, it was difficult because the story did not work./Multiple JR Lines, Subway 2 routes, Yurika Momaga Street, and Yurikamome are famous for the city of office workers.It is also close to the Shiodome station where the Oedo Line passes. "
31,"Elevators and escalators that go to the ground or underground are rarely found.At least I want to write it on a map, or I want you to attach it.The response was very unpleasant.I was going to take two weeks ago, so I went to Yurakucho with watermelon to the Shinkansen and stuck to my ears.In this Sinbashi, the watermelon rang and the chime rang and it was displayed to the station.Let's ask, how long did you go to Yurakucho?I went to the Shinkansen.I heard that it shows how far it proves.He replied that he had used the same thing because he had the same Shinkansen ticket as before.If you try to pay to Tokyo, it's good to pay for it, so you already drunk it from the watermelon.It was an attitude.Because I was embarrassed, the ticketIt was a ticket that could be used all over JR Tokyo, so it was good to pass through the ticket when passing through Yura Kucho.It was my mistake, but it was too rude and I felt very bad in tone and attitude that I was completely suspected of tone.If you want to go to Odaiba on Odaiba by MRT, take a transfer on the Ginza Line.This is, the beautiful surrounding area + cafe + restaurant + old building + shopping street + local people + street photos + culture + cool/movement, and the surrounding area is also faithful.Are you okay as a person?This year was the 150th anniversary of the railroad opening? "
32," using this summer vacation, I moved to the old Shinbashi stop!I felt bad at around 22 o'clock, and I was resting in the bathroom, and I realized that it would close.It's been two hours, where did you go?I said I was resting in the bathroom because I felt bad, but I was forced to collect 200 yen side by side with theories that I don't know about 2 hours. "
33,"I couldn't say anything strongly, but it was unreasonable. "
34," Is it still difficult for women?I thought.It is also rare that it is not a barrier free.I thought.The station itself is a general station./ There are many restaurants around the station.JR.There are three stations of the subway Ginja Line.In addition, it is located on the distance of 'Yurika Mome', which is located in the Tokyo Big Site.It exists in the middle of the place where the giant building is followed. "
35," \I think you are using it./It is a station where you can go directly to Kabukija.I want to use an exit close to work, but I can only open it from 7 o'clock.This time I didn't install the escalator.As it is scattered in other word -of -mouth, I can only see the garbage that seems to be well adopted.There's a lot of severe stations so far (laughs) "
36," The entrance to the ground has a formal guide that says, `` I can't use it here in ××. ''It is written.I don't realize this.A person who noticed may realize, but at least Watashi did not realize.○ I want to hear the Governor's view. "
37," near Sinbashi Hagi and Dongguk.In the old days, it was close to Tokyo Station, which seems to have been a tent of the OTC, and it is a few minutes from Ginza Station.Obviously there is an elevator going to the platform 2 to go to Narita Airport.Eventually, I climbed the stairs with a heavy travel bag and arrived on the platform, but eventually missed the train, I had to wait 30 minutes to take the next train, and it took more time to go to the airport.It was scheduled to arrive at Narita Airport at 10:30 am, but it was delayed to 11:30 am because it missed the train for 2 minutes. "
38,"'s name is `` Kabukijama '' only in Tokyo Metro.Located east of Ginza Station.At the time of the opening of 1963 (Showa 38), it is a Ginza -dong, and Ginza -dong comes with a title called ""Ginza.""It is convenient because you can go directly to Kabukiza!!Although Higashi Ginza is called Ginza, Wako and Ginza Six are said to be a walking volume.!/It's a convenient role, but it's because of the wetlands.There is a place to drink water in the home of the Asakusa Line, so if you are thirsty, please use it.You need a transfer, but you can go to Narita Airport and Haneda Airport.You can also walk to Ginza.)/Stairs are full.There are many hotels, but there is no elevator or escalator.It has been changed to the aisle, and it has become a transit passage for the senior man's handy capper.In which direction, it is certain, there is no, but there is no, but completely, the Ginza 4 -ga, Yura Kucho, Sinbashi, and Higachinja are in the state of the ant's nest. "
39,"And the indications of the direction and destination, the two kinds of roads, there is no mark or notice, and the Japan of the tourism. "
40," How to upload MAPS more?Is it difficult?The A1 exit has a constituency connected to the ground and is directly connected to the NARITA airport line via Osiage Station (Skytree).However, there is an escalator connected to the Haneda airport line only at the A5 exit.The fastest way to switch these two lines is to use the 1.5 -layer staircase.The A1 and A5 are just a few minutes' walk away on the ground path.There is no clear guidance near the connection staircase.I saw too many travelers to carry heavy burdens on the stairs.The station attendant will only tell you the stairs.I found a leaflet in Japanese in the A1 elections and experimented with how it works here.Fortunately, I was able to read a little bit of Japanese, but I had to go up and down with a heavy burden.Sinbashi Hagi is convenient at exit 6.You can transfer with the Doei Asakusa Line.A city that happens late at night.It's colorful and clean.When you come from the airport, it is convenient to use the elevator from the A1 access road./ If you go to the ticket gate, there is no passage.Two! ""/It's easy to make a mistake because there is a different ticket in Yokohama and Narita.I saw it ... the fabric is not my taste. "
41," I ate my friends, but the dough is not delicious.Among them, the cream was not delicious. I bought a "
42, I asked at the window and asked if I asked for a bad response.. ”I said a word for a hard place. 
43," is very convenient to transfer with Hibiya Line and Doei Asakusa Line./2023/05/28 = Go to Ginza/Still Anti -Available Fence (Baricade)Is not completed.The employee is Tamegu.""to?what.Doing people who don't know or who are in trouble.It was not a response to an opponent demanding Tasuke.It is a disappointing shock.The only unfortunate thing is that the station is passed by Access Express .../Very modern and clean.You can walk.Depending on the destination, the side from this station is only used.Dala, it's annoying to break up the ticket gate!Besides, some of the entrance are closed in late time, so this is also annoying!/There are all good things here/crowded in the morning.This station is always crowded because it connects Ginza, Roppongi, Hibiya, Meguro and both airports.I want to enter the cute building at the entrance of Koji Mihara, where Sunhiggin Station is left, and I want to enter the shop of Gogo Tapo.It is the closest station of Kabukija. "
44, Higachija!There is no elevator that can be done!/Here's getting lost in this station.The reverse is too incompetent ./ Is there a coin locker in a good/station?Direct connection ♪/General Station/Good/Good/Relatively Convenience/Light/Station/Celebrity
45," It can be walked to Gyobashi and Ginza Itchome.It is difficult to climb the stairs quite a bit depending on the A3 of the photo.The day before, I got from the exit with an escalator in the ticket gate towards Gyobashi."
46,OR Keise Line Direct Tank) Stops. 
47, It has been cleaned after the recent internal construction.Get off the elevator on the headquarters building.You can't arrive at other entrances.It is a statue.There is no release. 
48," The home of the Asakusa Line was once the color of each station, but now it is regrettable that it tastes like unknown.The bathroom is clean.It is deep to the groove.I have bad legs.Since the destination was to Nishima Gome, it seemed to be crying on the stairs that continued.There are hotels around Takarachachi, and I think many people have a carry bag.At least I want to put the A8 notice on each entrance on the ground./Although the name is low, the Gyobashi Station on the Ginza Line, the Yaesu Guchi, the Gay Guchi Line and the Hibiya Line are located in the walk, so there are many alternative routes when there is something on the route.It is convenient for transfer because of the office distance.Especially nothing.If you go to Tokyo Station here, it is better to get off at Nihonbashi and pass the underground road.If you are a Yaes book center, you can get off here.There is a limit to using the stairs in a sense of fitness.The man helped us to go to the domestic station or international flights, and helped the domestic ticket to Haneda Airport.Domestic costs are more expensive than international costs.His attitude seems to come from a face that looks like a Chinese.When I arrived at the airport, at the exit point, I talked to see if I could get the difference from the woman.She was very rude and said several times.I'm not reluctant to donate.But please don't eat tourists!/There is only a toilet in the south of the house. "
49," How to use it is very convenient?This is difficult.?/Indeed, Do -young.The structure of the station is severe."
50," I received it as a family after returning home, but the custard taste is thin and the caramel is the taste of poison (● Kuta ●)."
51," When I visited the head office from the staff, it was called Osaka Umeda Hankyu.As a souvenir of Osaka, the old Osaka resident who comes to mind only about 'Iokoshi' and '551'.To the person in charge, it was said to be fine this time.No, isn't the structure of the station that can't come out in the opposite way due to a burning direction?This is a tone that seems to be completely bad, a route that you do not want to use.KOREDO Nihonbashi and Nihonbashi Takashi Mayan and Maruzen Nihonbashi are directly connected.There is a stained glass of Nihonbashi Minami's loyalty to the near B1 exit.It adds paints to the underground space./Personally, it seems to be used, and it is less used compared to Takarachi or Higachi, but I used to walk from Obamicho to ride the Asakusa Line./ Nihonbashi Station is Nihon NihonThe subway station is installed just below the Bash intersection, with Tokyo Metro Ginja Line, Dongdong Seosun Line, and Doei Subway Asakusa Line.The Tokyo Metro Ginza Line was the most historical subway in Japan in 1927, and the opening was a 2km route of Asakusa-Ueno, but after that, it was connected to Shibuya by Yeonsin Corporation, and Nihonbashi Station was Ginza Line in 1932.Start with reverse.After that, in 1967, the Ceramic Lee Sun -sun opened and boarded, and in 1989, Dobashi Station was renamed Nihonbashi Station, which was adjacent to the transit station.The old Ginza Line Home, which is installed in the year, is narrow and there are many pillars standing, so it is difficult to move home.The groove is installed under the central street on the ground, and the ticket gate on the side of Asakusa is located just below the Nihonbashi Intersection and is contacted on the first basement of Nihonbashi.In addition, the ticket gate on the side of Shibuya is contacted in the first basement of Takashimaya, Nihonbashi, or the large bookstore Marugen.It is located to penetrate under the Ginza Line, so we use stairs or escalators to transfer with the Ginza Line.That's why it's hard to use for a while.Daily construction is underway with the goal of completing the conversion of the 2020 Tokyo Olympics. "
52, is also because Takashi Maya is burdened with construction costs in the construction of the station. 
53," Why is it walking in the middle of 125cm of one side (62.5cm × 2)?If you don't know, please draw a line as if you were walking on one side.Yakult 1000 was also available!/Tokyo Metro Ginza Line?In front of the station is a department store and a restaurant.It is becoming the closest station of the Bank of Japan and the Tokyo Stock Exchange, and is becoming a financialist called Toucho.The surrounding area is lively and crowded.It was renamed and became the current Nihonbashi station.It is not 100 meters away from Nihonbashi Station with Tokyo Metro.There is no problem in the same station.Escalator construction will be released after loosening the temporary fence on the premises.After climbing to another escalator with a temporary fence, the exit is impossible to move.Even though I know the station, I don't know the first person at all.You should also prepare the current guidance.Even if there is a radio wave, most of them cannot communicate, but the population density of the central district may be too high.The transfer walks about 4 minutes, so it's a teeth./No go to no.If you have an elevator or escalator, you will be preferred./I don't know "
54," It was very sweet and delicious.It is not 2 months ago, so it is indicated as the Dowi Asakusa Line Nihonbashi Station at the point where the Ginza Line and Tosai Lee Sun -seon intersect.I did.In fact, we are in contact with the station of the Asakusa Line.At that time, I just passed to the Asakusa Line, it was a simple memory.Google Map and everyone, sorry.The atmosphere of the station is subtle, but I like Nihonbashi's atmosphere.ReverseVery normal ./ It is very difficult to understand.The location of the sign is awkward.I am also visiting the Japanese Tour Group.I forgot my cell phone.If you contact, the person you received was in the Nihonbashi Lost Center.When I went to Nihonbashi, I said I didn't have my cell.When I call the subway loss center, my cell phone is located in Nihonbashi Lost Center.When I went to Nihonbashi Lost Center, I found it in detail and found it.The station of the Nihonbashi Lost Center is an emergency responsibility/Tokyo Metro Zein Ginza Line, and "
55, is embarrassed by Japanese people.It was one of the stations I visited in August.I tried to abuse it as much as possible because I had a three -day pass for Doei/Tokyo.The other time I was on the charity was when I went to Ginza Station or Shinbashi Station. 
56,"A strange space that reminds you of childhood in Tokyo, an exotic city.New and familiar landscapes that meet between the hidden alleys.It was used to transfer. "
57," is also close to Gobami Shrine, which is considered profitable.In the glass, she looked like a doll decorated in Shu Windows.I was looking at ice coffee alone and only looking at the floating ice.Summer is coming at the end.It is not only me who is trapped in the loss left.Obviously she will feel the loneliness after the festival.I know it for a long time.From the side, I will look like a doll of cheap toy with wet air.Even in September, the day was over 30 degrees.Autumn Rain Front is spreading in the summer sky.In one corner of the street, the season, the seasonal pumpkin, and a cute doll made of glass were decorated in Shu Windows.In recent years, there is a growing work space.Even if it's the flow of Nomad, "
58," is a rarely courageous work here.The reverse number is also the same as the H14, the Asakusa Line is the same as the A14.It is also a commercial area that follows the shop, and is also an office street of Nihonbashi.The Setomonoshi, which is held in the streets of Ningo, every year, is a summer life. "
59," \The initial opening of the station is the last stop, which is only open to the Osiagae, and there is a groove on the second basement.There are two elevators in contact with each ticket gate, which is in response to the barrier -free.Home doors were installed in January 2023 (5 years) and started from February 25 (Sat).Passing the front of the store and entering the ticket gate on the other side, "
60," It is necessary to go outside for this transfer, but the surrounding area is a busy street, so if you are walking with the store while looking at the store, you will arrive between the brabra./ TokyoBiya Line/Asakusa Line Station.It took a few days to go and go to this station because I live in the hotel.This station is relatively small, but the living function is good.There are several places.I only saw a few steps in convenience stores and a few steps, but there are also EON supermarkets, and there are not many livelihoods for livelihoods, but I have a few hotels near the station, and I can go to Nihonbashi Station from the other side, so I can easily walk to Ningyo Cho.It is convenient./ Tokyo Metro and Doei subway station.However, it is just located in the intersection of the road above, and if you go wrong, you have to cross the pedestrian crossing later.When you get out of the dog, it's righteous.(Especially when you get out of the ticket gate near the Chibacho Line, it's a different place from the so -called intersection of the so -called Ninyo. In the intersection, it is a modest distance.)It can be a lot of you can use the station as a sightseeing, so when you asked a question, there was a stationary attitude of the station and a station who did not use the word.The other station was a good person, but I'm sorry.He was a young man with glasses around 20 o'clock of 3/17.There is a limousine bus terminal from Naritana Haneda Airport (about 5 minutes on foot).?Please let go of the smartphone here?I felt very unpleasant.It may have been bad, but I want to quit if I can't take a polite response to the guests./""Tokyo Metro Hibiya Line and Doei Asakusa Line are also close to Hanzo Monsey Ten Kumade Station. "
61," because they are also available., I felt a bit uncomfortable with the Narita of the Asakusa Line, the Nishima Game Me, and the entrance."
62," If you go wrong at the destination exit, you can see the map when you get off at the station.In addition, it is possible to transfer to the Tokyo Metro Hanzomon Line Steenumade Station. "
63,"I couldn't go to Taiwan of the destination. I was in despair.Thank you so much for the phone.It is a 'livestock corridor' where salarymen who have lost their livestock to the slaughterhouse are lined up.The route is the Keikyu Main Line, the Keikyu Airport Line, the Doei Asakusa Line (Nishima Me Room) Keisei Osia Crab, Keisei Main, Kei Sei Narita Sky Access Line, and other lines.It is suitable for the sound of the VVVF sound and video shooting.Masen Yokoyama Station in the adjacent Doei Shinjuku Line is a transfer station in the Asakusa Line, and is a major station in Doei Subway, which is also designated as a transfer station. "
64,"JR is also connected to the Makuramachi station of the fast line, but there are quite a few distances via Makuyokoyama Station.It gives a pretty stylish feeling./ When we went to Tokyo Skytree on July 29, we bought a ticket at this station and lost the phone here, and when I returned to this station from Tokyo Skytree, I asked if I found a cell phone.It is.I accidentally found our cell phone in the lost corner of this site, and thank you very much. "
65,"2.Narita Airport direction: A4 exit/employee's response is excellent but stationIt feels an old feeling./ Because it has a torque, it is convenient because it collapses while waiting for the fast.It's a station./Fat staff wearing glasses has a lot of racism./ It takes time to transfer./ It's a quiet role./?/It's too far to go to the opposite home."
66," is a convenient place for travelers because there are many business hotels around the station.Where the mayor is located, the legs of the Ethora, crossing the Gandawa, which runs south, are originally originated from the Asakusa Bridge, but are far from Asakusa.I thought there was no entrance to the east, including the transfer of, but it turned out that there was also a western exit today.!/It is a station that connects Sobu and Asakusa Lines. "
67," I used this station at Dorikoshi Festival.People often confuse infant cars or large luggage that cannot be found on the Internet if they have an elevator in the station./ Because of the old station, the structure of the stairs or the structure of the stairs is bad, and because the escalator cannot be installed, the elderly want to be Gyeongwon because they cannot install escalators..If you go down the gate of JR and go downstairs, it consists of a staircase that goes down to the station of the Dowe Asakusa Line.Asakusa, which has tourist attractions such as Kaminarimon, Nacamise, and Sensoji, is the closest of the second Asakusa Station in Dogi Asakusa Line Ochasia, and is famous for its traditional ""Kuzuki.""It is a delay in the installation of the elevator or escalator due to the old making of the national season.In addition, there are always many elevated passengers, so there is also difficulty in installation work.Unless it is a 2F building, it may be difficult to improve!/Kaminarimon is Asakusa Station.You can walk along the Sumida River to feel good. "
68," Asakusabashi Station has a facility near Osiage, and the first day of Keikyu, the early morning all morning, was completed until many years ago.But clean and dirty time…The most severe thing was home garbage (a variety of big bags ... The courage of washing detergent…) is in the private room toilet ,,,.Then, the former person's dirt has not flowed, or vomiting, no toilet paper, (women's toilet).Saying not (it was stolen by someone ...) was very shocked...(Crying)/JR Sobu Line (Each Station) and the station of the Asakusa Line of the Doe Subway.The station of "
69,"jr was attacked by a radical attack in the `` simultaneous guerrilla case '' on November 29, 60 (1985).It is incapable of operating. "
70," The Boguji store at the exit is, there is no or no or amazing.The transfer is out of the way.Location "
71,"1985 (Showa 60)The damage and fire of the history of the national railway.It can also be expedited to Miura.The surrounding area is developing and it is a pleasant street.Since a user who cannot read the arrow from the passage from the car to the stairs is collapsing the line, it is necessary to complete the discrimination. "
72,It is the largest blot of the century this century.It is not good to have a significant lungs because of the broken lines.
73," is a pity that Midori's window has disappeared./ Asakusa is the station next to two, and the Asakusa bridge.When you leave the station, the doll's doll shop is side -by -side, but the ninjocho is next to two.This is the Asakusa Bridge.Of course, the minimum tool is equipped, but the leather has a bad quality or color as a whole, and I have been caught in some shops as if the fake and recycled leather of Kodoban is thick.Asakusa's leather shop is completely good.The elevator that can be used is also a structure that suffers quite a bit of a weak foot because of the limited location.It is a city that loses morality. "
74,"The line is connected, and the in front of the station is a wholesale mall, especially wholesalers related to accessories are concentrated.There are also a few restaurants in front of the station, and it is also on office distance.It is better to change it.If you have an elevator, the elderly will be comfortable.There are many shops under the guard.The winter night landscape felt somewhere old longing./ The station facility on the home of the JR line is removed or reduced, but the groove is a little narrow.It is inevitable because it is quite old, but the transit side of the Dowe Asaku Line is a crowded sign because the ceiling is low and the passage passing under the track is narrow. "
